Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
135	979.25	16.083765	1000.0	956.0	983.3	9.920181	1000.0	969.0	1000.0	1000.0	539999	112.3219	34.227863	156.21898	-7.670513	-112.78636	0.5026623	10367.026242256165
136	977.0	10.099504	989.0	961.0	875.2	292.0828	990.0	0.0	1000.0	1000.0	543999	112.3041	35.054432	156.71077	-13.202204	-112.765236	0.48612154	10447.214101076126
137	966.75	15.449514	976.0	940.0	882.3	289.4208	1000.0	15.0	1000.0	1000.0	547999	112.24582	35.737675	155.82692	-17.594704	-112.71614	0.48683986	10527.485481977463
138	957.25	16.452583	974.0	930.0	975.9	7.489326	989.0	964.0	1000.0	1000.0	551999	112.05997	36.04948	153.50908	-23.265505	-112.51693	0.46789756	10607.55624628067
139	822.0	288.2126	1000.0	323.0	787.6	391.21176	1000.0	0.0	1000.0	1000.0	555999	111.56229	35.990887	152.6262	-28.802565	-111.99804	0.44821236	10687.592279434204
140	809.25	279.1804	986.0	326.0	889.2	163.16483	1000.0	489.0	1000.0	1000.0	559999	111.06341	35.827915	153.12837	-30.524788	-111.50128	0.44877166	10767.759880304337
141	913.5	90.13462	991.0	760.0	969.3	18.330576	991.0	928.0	1000.0	1000.0	563999	110.5582	35.83989	151.47414	-30.70148	-110.990326	0.46405834	10847.778084516525
142	939.75	51.299976	983.0	855.0	981.1	14.067339	997.0	959.0	1000.0	1000.0	567999	109.91179	35.609737	151.86792	-28.330254	-110.30549	0.46186513	10927.91276550293
143	807.75	266.25305	991.0	351.0	903.1	227.53392	996.0	221.0	1000.0	1000.0	571999	109.44715	35.402725	154.40982	-21.915134	-109.8672	0.45140108	11008.296558618546
144	970.5	19.18984	1000.0	948.0	974.2	21.357903	994.0	917.0	1000.0	1000.0	575999	109.51328	35.13516	154.18379	-17.281868	-109.96866	0.45753613	11088.445373535156
145	974.0	8.276473	987.0	964.0	877.2	290.65228	993.0	6.0	1000.0	1000.0	579999	110.10814	34.89158	152.33119	-17.632483	-110.5902	0.4630762	11168.812627792358
